Lp,"Numer RSPO","Typ szkoły_placówki","Nazwa szkoły_placówki","Liczba uczniów ogółem","Liczba oddziałów ogółem","wychowanie przedszkolne","klasa wstępna","klasa I","klasa II","klasa III","klasa IV","klasa V","klasa VI","klasa VII","klasa VIII","Typ organu prowadzącego","Organ prowadzący",Wojewodztwo,Powiat,Gmina,Miejscowość,Ulica,"Nr domu","Nr lokalu","Kod pocztowy",Poczta,Telefon,"Specyfika szkoły","Kategoria uczniów","Publiczność szkoły_placówki"
37,11340,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 97 IM. JOACHIMA LELEWELA W KRAKOWIE",586,27,0,0,87,90,77,69,64,59,66,74,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Doktora Judyma",10,,30-436,Kraków,122622515,"brak specyfiki","Dzieci lub młodzież",publiczna
38,11429,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 21 IM. WŁADYSŁAWA JAGIEŁŁY W KRAKOWIE",363,16,0,0,47,44,45,46,47,45,45,44,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Batalionu ""Skała"" AK",12,,31-273,Kraków,126332144,"brak specyfiki","Dzieci lub młodzież",publiczna
39,11570,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 10 IM. MARII SKŁODOWSKIEJ-CURIE W KRAKOWIE",208,9,0,0,41,23,24,20,21,28,24,27,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"ks. Franciszka Blachnickiego",1,,31-535,Kraków,124213311,"brak specyfiki","Dzieci lub młodzież",publiczna
40,11658,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 124 IM. MARII SKŁODOWSKIEJ-CURIE W KRAKOWIE",399,22,0,0,51,39,63,31,48,62,62,43,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Ferdynanda Weigla",2,,30-898,Kraków,123971055,"brak specyfiki","Dzieci lub młodzież",publiczna
41,11861,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 7 IM. WOJSKA POLSKIEGO W KRAKOWIE",265,12,0,0,38,33,26,27,41,31,43,26,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Władysława Spasowskiego",8,,31-139,Kraków,126337442,"brak specyfiki","Dzieci lub młodzież",publiczna
42,11930,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 78 IM. PIOTRA MICHAŁOWSKIEGO W KRAKOWIE",438,20,0,0,70,61,64,62,49,40,50,42,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Jaskrowa,5,,31-990,Kraków,126452722,"brak specyfiki","Dzieci lub młodzież",publiczna
43,12007,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 72 IM. TEOFILA LENARTOWICZA W KRAKOWIE",458,20,0,0,69,52,51,55,65,69,52,45,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Aleja Modrzewiowa",23,,30-224,Kraków,124251967,"brak specyfiki","Dzieci lub młodzież",publiczna
44,12062,"Szkoła podstawowa","SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 107 IM. TADEUSZA BOYA-ŻELEŃSKIEGO W KRAKOWIE",397,21,0,0,50,58,58,60,57,46,45,23,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,Zdrowa,6,,31-216,Kraków,126330714,"brak specyfiki","Dzieci lub młodzież",publiczna
45,12104,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 153 IM. KSIĘDZA PROFESORA JÓZEFA TISCHNERA W KRAKOWIE",372,19,0,0,50,41,43,55,39,50,37,57,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Na Błonie",15d,,30-147,Kraków,126377132,"brak specyfiki","Dzieci lub młodzież",publiczna
46,12116,"Szkoła podstawowa","SZKOŁA PODSTAWOWA NR 100 IM. ADAMA MICKIEWICZA W KRAKOWIE",370,17,0,0,67,48,40,48,46,39,44,38,"Miasto na prawach powiatu","GMINA MIEJSKA KRAKÓW",MAŁOPOLSKIE,"m. Kraków","M. Kraków",Kraków,"Osiedle Albertyńskie",36,,31-855,Kraków,126491492,"brak specyfiki","Dzieci lub młodzież",publiczna
